"rent, rub/month",full_address,city,"price_per_sqm, rub/month","square, m^2",type,url
3000,Космонавтов проспект,Екатеринбург,666,4,Универсальное помещение,https://ekaterinburg.n1.ru/view/115569423/?open_card_kn
130000,Радищева,Екатеринбург,1857,70,Универсальное помещение,https://ekaterinburg.n1.ru/view/113775640/?open_card_kn
245100,Академика Шварца,Екатеринбург,2904,84,Универсальное помещение,https://ekaterinburg.n1.ru/view/115563766/?open_card_kn
37500,Николая Кичигина,Екатеринбург,1500,25,Универсальное помещение,https://ekaterinburg.n1.ru/view/115916255/?open_card_kn
175000,Краснолесья,Екатеринбург,2272,77,Универсальное помещение,https://ekaterinburg.n1.ru/view/115175033/?open_card_kn
185000,Нагорная,Екатеринбург,2500,74,Универсальное помещение,https://ekaterinburg.n1.ru/view/115172063/?open_card_kn
246636,Тверитина,Екатеринбург,899,274,Универсальное помещение,https://ekaterinburg.n1.ru/view/115914366/?open_card_kn
117355,Тверитина,Екатеринбург,700,167,Универсальное помещение,https://ekaterinburg.n1.ru/view/115914365/?open_card_kn
140000,Тверитина,Екатеринбург,1745,80,Универсальное помещение,https://ekaterinburg.n1.ru/view/114491398/?open_card_kn
57475,Черняховского,Екатеринбург,950,60,Универсальное помещение,https://ekaterinburg.n1.ru/view/115914116/?open_card_kn
450000,Рабочая,Екатеринбург,466,965,Универсальное помещение,https://ekaterinburg.n1.ru/view/115913011/?open_card_kn
216000,Космонавтов проспект,Екатеринбург,2000,108,Универсальное помещение,https://ekaterinburg.n1.ru/view/115557893/?open_card_kn
81765,Шарташская,Екатеринбург,690,118,Универсальное помещение,https://ekaterinburg.n1.ru/view/115912495/?open_card_kn
725200,Березовая,Екатеринбург,700,1036,Универсальное помещение,https://ekaterinburg.n1.ru/view/111988425/?open_card_kn
72000,Октябрьская,Екатеринбург,360,200,Универсальное помещение,https://ekaterinburg.n1.ru/view/113032621/?open_card_kn
400000,Радищева,Екатеринбург,4000,100,Универсальное помещение,https://ekaterinburg.n1.ru/view/114151857/?open_card_kn
110000,Рощинская,Екатеринбург,996,110,Универсальное помещение,https://ekaterinburg.n1.ru/view/115556290/?open_card_kn
79000,Академика Ландау,Екатеринбург,1000,79,Универсальное помещение,https://ekaterinburg.n1.ru/view/115911065/?open_card_kn
106400,Павлодарская,Екатеринбург,800,133,Универсальное помещение,https://ekaterinburg.n1.ru/view/115911064/?open_card_kn
118000,Инженерная,Екатеринбург,1000,118,Универсальное помещение,https://ekaterinburg.n1.ru/view/115911063/?open_card_kn
105000,Южногорская,Екатеринбург,1060,99,Универсальное помещение,https://ekaterinburg.n1.ru/view/115911062/?open_card_kn
700000,Зеленая,Екатеринбург,636,1100,Универсальное помещение,https://ekaterinburg.n1.ru/view/115911061/?open_card_kn
114120,Краснофлотцев,Екатеринбург,1200,95,Универсальное помещение,https://ekaterinburg.n1.ru/view/115550279/?open_card_kn
50000,Юбилейная,Екатеринбург,1006,49,Универсальное помещение,https://ekaterinburg.n1.ru/view/114872425/?open_card_kn
