"rent, rub/month",full_address,city,"price_per_sqm, rub/month","square, m^2",type,url
629000,"Удельный проспект, 31",Санкт-Петербург,1473,427,Универсальное помещение,https://spb.n1.ru/view/115945507/?open_card_kn
200002,"Галерный проезд, 1",Санкт-Петербург,2469,81,Универсальное помещение,https://spb.n1.ru/view/115945490/?open_card_kn
390000,"улица Черняховского, 35",Санкт-Петербург,1300,300,Универсальное помещение,https://spb.n1.ru/view/115945489/?open_card_kn
350000,"Витебский проспект, 99",Санкт-Петербург,2500,140,Универсальное помещение,https://spb.n1.ru/view/113824932/?open_card_kn
110950,"6-й Предпортовый проезд, 10в",Санкт-Петербург,660,168,Универсальное помещение,https://spb.n1.ru/view/115945003/?open_card_kn
380000,"улица Наличная, 44",Санкт-Петербург,2000,190,Универсальное помещение,https://spb.n1.ru/view/115944991/?open_card_kn
135310,"проспект Старорусский, 8",Санкт-Петербург,700,193,Универсальное помещение,https://spb.n1.ru/view/107406632/?open_card_kn
260000,"улица Черной речки набережная, 47 ст1",Санкт-Петербург,2998,86,Универсальное помещение,https://spb.n1.ru/view/115944933/?open_card_kn
155997,"улица Лени Голикова, 82",Санкт-Петербург,1305,119,Универсальное помещение,https://spb.n1.ru/view/115944929/?open_card_kn
259200,"Дунайский проспект, 27",Санкт-Петербург,1800,144,Универсальное помещение,https://spb.n1.ru/view/115944925/?open_card_kn
639990,"улица Будапештская, 92",Санкт-Петербург,1185,540,Универсальное помещение,https://spb.n1.ru/view/115944926/?open_card_kn
80000,"Дунайский проспект, 27",Санкт-Петербург,2000,40,Универсальное помещение,https://spb.n1.ru/view/115944914/?open_card_kn
160003,"улица Маршала Говорова, 3",Санкт-Петербург,869,184,Универсальное помещение,https://spb.n1.ru/view/115944913/?open_card_kn
279008,"улица Руднева, 16",Санкт-Петербург,1201,232,Универсальное помещение,https://spb.n1.ru/view/115944906/?open_card_kn
290004,"Среднеохтинский проспект, 18",Санкт-Петербург,1078,269,Универсальное помещение,https://spb.n1.ru/view/115944804/?open_card_kn
55000,"улица Зайцева, 4",Санкт-Петербург,1833,30,Универсальное помещение,https://spb.n1.ru/view/113824686/?open_card_kn
270002,"Лесной проспект, 20",Санкт-Петербург,1862,145,Универсальное помещение,https://spb.n1.ru/view/115944787/?open_card_kn
98249,"улица Краснопутиловская, 69",Санкт-Петербург,749,131,Универсальное помещение,https://spb.n1.ru/view/115944767/?open_card_kn
229995,"улица Кузнецовская, 36",Санкт-Петербург,855,269,Универсальное помещение,https://spb.n1.ru/view/115944773/?open_card_kn
1016250,"улица Гончарная, 6",Санкт-Петербург,2500,406,Универсальное помещение,https://spb.n1.ru/view/115944777/?open_card_kn
437399,"улица Черной речки набережная, 47 ст1",Санкт-Петербург,2695,162,Универсальное помещение,https://spb.n1.ru/view/115944760/?open_card_kn
150000,"Апраксин переулок, 7",Санкт-Петербург,2083,72,Универсальное помещение,https://spb.n1.ru/view/115944759/?open_card_kn
270003,"проспект Средний Васильевского острова, 23",Санкт-Петербург,3698,73,Универсальное помещение,https://spb.n1.ru/view/115944761/?open_card_kn
250000,"6-й Верхний переулок, 63",Санкт-Петербург,1000,250,Универсальное помещение,https://spb.n1.ru/view/115944748/?open_card_kn
294994,"улица Университетская набережная, 25",Санкт-Петербург,1755,168,Универсальное помещение,https://spb.n1.ru/view/115944747/?open_card_kn
450000,"Гражданский проспект, 114",Санкт-Петербург,4692,95,Универсальное помещение,https://spb.n1.ru/view/115944745/?open_card_kn
209998,"Коломяжский проспект, 26",Санкт-Петербург,2282,92,Универсальное помещение,https://spb.n1.ru/view/115944735/?open_card_kn
211201,"шоссе Колпинское, 127",Санкт-Петербург,3000,70,Универсальное помещение,https://spb.n1.ru/view/115252524/?open_card_kn
120000,"улица Саперная, 40б",Санкт-Петербург,909,132,Универсальное помещение,https://spb.n1.ru/view/114908623/?open_card_kn
120000,"Авиаконструкторов проспект, 61",Санкт-Петербург,1996,60,Универсальное помещение,https://spb.n1.ru/view/115941581/?open_card_kn
60000,"улица Парашютная, 52",Санкт-Петербург,1250,48,Универсальное помещение,https://spb.n1.ru/view/115941580/?open_card_kn
100000,"Невский проспект, 81",Санкт-Петербург,1492,67,Универсальное помещение,https://spb.n1.ru/view/115940816/?open_card_kn
110000,"Каменноостровский проспект, 2",Санкт-Петербург,1193,92,Универсальное помещение,https://spb.n1.ru/view/115940783/?open_card_kn
4425000,"Выборгское шоссе, 12",Санкт-Петербург,2950,1500,Универсальное помещение,https://spb.n1.ru/view/115249487/?open_card_kn
252750,"Коломяжский проспект, 13",Санкт-Петербург,2500,101,Универсальное помещение,https://spb.n1.ru/view/115600091/?open_card_kn
575003,"улица Кржижановского, 12",Санкт-Петербург,894,643,Универсальное помещение,https://spb.n1.ru/view/115940616/?open_card_kn
189900,"улица Молдагуловой, 5",Санкт-Петербург,895,212,Универсальное помещение,https://spb.n1.ru/view/115600067/?open_card_kn
