"rent, rub/month",full_address,city,"price_per_sqm, rub/month","square, m^2",type,url
80000,"улица Оренбургская, 1",Краснодар,1230,65,Универсальное помещение,https://krasnodar-1.n1.ru/view/115857606/?open_card_kn
65450,"улица им Буденного, 129",Краснодар,1100,59,Универсальное помещение,https://krasnodar-1.n1.ru/view/115857589/?open_card_kn
48000,"улица Скандинавская, 1",Краснодар,1200,40,Универсальное помещение,https://krasnodar-1.n1.ru/view/115857588/?open_card_kn
414700,"улица Железнодорожная, 24",Краснодар,1000,414,Универсальное помещение,https://krasnodar-1.n1.ru/view/115151713/?open_card_kn
100000,"улица им. Героя Николая Шевелёва, 1",Краснодар,1428,70,Универсальное помещение,https://krasnodar-1.n1.ru/view/115149002/?open_card_kn
50000,"улица Уральская, 109",Краснодар,909,55,Универсальное помещение,https://krasnodar-1.n1.ru/view/115148962/?open_card_kn
350000,"улица Северная, 600",Краснодар,700,500,Универсальное помещение,https://krasnodar-1.n1.ru/view/115148959/?open_card_kn
44000,"улица Красных Партизан, 1",Краснодар,814,54,Универсальное помещение,https://krasnodar-1.n1.ru/view/110185507/?open_card_kn
630000,"улица Российская, 269",Краснодар,900,700,Универсальное помещение,https://krasnodar-1.n1.ru/view/115496375/?open_card_kn
1113000,"улица им Герцена, 249",Краснодар,1050,1060,Универсальное помещение,https://krasnodar-1.n1.ru/view/110659980/?open_card_kn
120000,"Ейское шоссе, 21",Краснодар,500,240,Универсальное помещение,https://krasnodar-1.n1.ru/view/112970664/?open_card_kn
96000,"улица Григория Булгакова, 8",Краснодар,1592,60,Универсальное помещение,https://krasnodar-1.n1.ru/view/115493249/?open_card_kn
46500,"улица Имени М.П. Шемякина, 2",Краснодар,1500,31,Универсальное помещение,https://krasnodar-1.n1.ru/view/115838740/?open_card_kn
22800,"улица им Лизы Чайкиной, 2",Краснодар,600,38,Универсальное помещение,https://krasnodar-1.n1.ru/view/115838739/?open_card_kn
280000,"Шоссе Нефтяников, 18",Краснодар,2000,140,Универсальное помещение,https://krasnodar-1.n1.ru/view/114071301/?open_card_kn
70000,"Ростовское Шоссе, 30",Краснодар,1206,58,Универсальное помещение,https://krasnodar-1.n1.ru/view/115486533/?open_card_kn
675000,"улица им Петра Метальникова, 30",Краснодар,1500,450,Универсальное помещение,https://krasnodar-1.n1.ru/view/115486532/?open_card_kn
260000,"улица Уральская, 100",Краснодар,2988,87,Универсальное помещение,https://krasnodar-1.n1.ru/view/115486488/?open_card_kn
84000,"улица им Володи Головатого, 302",Краснодар,1200,70,Универсальное помещение,https://krasnodar-1.n1.ru/view/115483243/?open_card_kn
20000,"улица им Мусоргского М.П., 6",Краснодар,246,81,Универсальное помещение,https://krasnodar-1.n1.ru/view/115483077/?open_card_kn
95000,"улица Красная, 196",Краснодар,3064,31,Универсальное помещение,https://krasnodar-1.n1.ru/view/115833279/?open_card_kn
356000,"проспект им 40-летия Победы, 33г",Краснодар,1299,274,Универсальное помещение,https://krasnodar-1.n1.ru/view/115483071/?open_card_kn
390000,"улица Почтовая, 49",Краснодар,1300,300,Универсальное помещение,https://krasnodar-1.n1.ru/view/114419668/?open_card_kn
40000,"улица Красных Партизан, 1",Краснодар,952,42,Универсальное помещение,https://krasnodar-1.n1.ru/view/115482953/?open_card_kn
1096680,"проспект им 40-летия Победы, 33г",Краснодар,2600,421,Универсальное помещение,https://krasnodar-1.n1.ru/view/115482952/?open_card_kn
111000,"улица Российская, 74",Краснодар,1495,74,Универсальное помещение,https://krasnodar-1.n1.ru/view/115482951/?open_card_kn
225000,"улица Им. Мурата Ахеджака, 12",Краснодар,900,250,Универсальное помещение,https://krasnodar-1.n1.ru/view/115482950/?open_card_kn
260000,"улица им Фадеева, 313",Краснодар,702,370,Универсальное помещение,https://krasnodar-1.n1.ru/view/115482949/?open_card_kn
1234000,"проспект им 40-летия Победы, 33г",Краснодар,2700,457,Универсальное помещение,https://krasnodar-1.n1.ru/view/115482948/?open_card_kn
203000,"Шоссе Нефтяников, 18",Краснодар,1796,113,Универсальное помещение,https://krasnodar-1.n1.ru/view/115482945/?open_card_kn
200000,"улица им Тюляева, 19",Краснодар,651,307,Универсальное помещение,https://krasnodar-1.n1.ru/view/115482944/?open_card_kn
299000,"Шоссе Нефтяников, 18",Краснодар,2198,136,Универсальное помещение,https://krasnodar-1.n1.ru/view/115482943/?open_card_kn
126000,"улица Им. Мурата Ахеджака, 12",Краснодар,997,126,Универсальное помещение,https://krasnodar-1.n1.ru/view/115482941/?open_card_kn
93000,"улица им Фадеева, 313",Краснодар,500,186,Универсальное помещение,https://krasnodar-1.n1.ru/view/115482942/?open_card_kn
272000,"Шоссе Нефтяников, 18",Краснодар,2000,136,Универсальное помещение,https://krasnodar-1.n1.ru/view/115482449/?open_card_kn
122000,"улица Им. Мурата Ахеджака, 12",Краснодар,997,122,Универсальное помещение,https://krasnodar-1.n1.ru/view/115482445/?open_card_kn
57000,"улица Домбайская, 55",Краснодар,1000,57,Универсальное помещение,https://krasnodar-1.n1.ru/view/115482442/?open_card_kn
111000,"улица Российская, 74",Краснодар,1495,74,Универсальное помещение,https://krasnodar-1.n1.ru/view/115482382/?open_card_kn
667000,"проспект им 40-летия Победы, 33г",Краснодар,2595,257,Универсальное помещение,https://krasnodar-1.n1.ru/view/115482380/?open_card_kn
500000,"улица им Володи Головатого, 302",Краснодар,1452,344,Универсальное помещение,https://krasnodar-1.n1.ru/view/115482342/?open_card_kn
60000,"Ростовское Шоссе, 30",Краснодар,1357,44,Универсальное помещение,https://krasnodar-1.n1.ru/view/115482340/?open_card_kn
50000,"улица Автолюбителей, 1г 2",Краснодар,888,56,Универсальное помещение,https://krasnodar-1.n1.ru/view/115482334/?open_card_kn
243000,"проспект им 40-летия Победы, 178",Краснодар,1800,135,Универсальное помещение,https://krasnodar-1.n1.ru/view/115482332/?open_card_kn
1096680,"проспект им 40-летия Победы, 33г",Краснодар,2600,421,Универсальное помещение,https://krasnodar-1.n1.ru/view/115482331/?open_card_kn
1155000,"улица Красная, 70",Краснодар,1500,770,Универсальное помещение,https://krasnodar-1.n1.ru/view/115482329/?open_card_kn
1300,"проспект им 40-летия Победы, 33",Краснодар,4,280,Универсальное помещение,https://krasnodar-1.n1.ru/view/115482328/?open_card_kn
418200,"улица Имени Б.С. Кудухова, 1",Краснодар,1700,246,Универсальное помещение,https://krasnodar-1.n1.ru/view/115482327/?open_card_kn
57600,"Адмирала Пустошкина бульвар, 11",Краснодар,800,72,Универсальное помещение,https://krasnodar-1.n1.ru/view/115482326/?open_card_kn
70000,"улица Красных Партизан, 1",Краснодар,972,72,Универсальное помещение,https://krasnodar-1.n1.ru/view/115482324/?open_card_kn
240000,"Платановый бульвар, 19",Краснодар,905,265,Универсальное помещение,https://krasnodar-1.n1.ru/view/115482323/?open_card_kn
490000,"улица им Фадеева, 313",Краснодар,700,700,Универсальное помещение,https://krasnodar-1.n1.ru/view/115482321/?open_card_kn
75000,"проспект им 40-летия Победы, 178",Краснодар,1200,62,Универсальное помещение,https://krasnodar-1.n1.ru/view/115481935/?open_card_kn
126000,"улица Уральская, 100",Краснодар,1500,84,Универсальное помещение,https://krasnodar-1.n1.ru/view/115481934/?open_card_kn
650000,"улица Воронежская, 47",Краснодар,500,1300,Универсальное помещение,https://krasnodar-1.n1.ru/view/115481930/?open_card_kn
523600,"проспект им 40-летия Победы, 33г",Краснодар,1689,310,Универсальное помещение,https://krasnodar-1.n1.ru/view/115481865/?open_card_kn
105000,"улица им Дзержинского, 93",Краснодар,695,151,Универсальное помещение,https://krasnodar-1.n1.ru/view/115481861/?open_card_kn
170000,"улица Восточно-Кругликовская, 30",Краснодар,1082,157,Универсальное помещение,https://krasnodar-1.n1.ru/view/115481860/?open_card_kn
30000,"улица им Игнатова, 4",Краснодар,461,65,Универсальное помещение,https://krasnodar-1.n1.ru/view/115481855/?open_card_kn
356000,"проспект им 40-летия Победы, 33г",Краснодар,1294,275,Универсальное помещение,https://krasnodar-1.n1.ru/view/115481852/?open_card_kn
253500,"улица Уральская, 100",Краснодар,2996,84,Универсальное помещение,https://krasnodar-1.n1.ru/view/115481854/?open_card_kn
54500,"улица Красных Партизан, 1",Краснодар,756,72,Универсальное помещение,https://krasnodar-1.n1.ru/view/115481853/?open_card_kn
40000,"улица им Валерия Гассия, 4",Краснодар,987,40,Универсальное помещение,https://krasnodar-1.n1.ru/view/115481848/?open_card_kn
60000,"улица Кубанская Набережная, 37",Краснодар,709,84,Универсальное помещение,https://krasnodar-1.n1.ru/view/115830234/?open_card_kn
424000,"улица Сормовская, 7",Краснодар,800,530,Универсальное помещение,https://krasnodar-1.n1.ru/view/115830206/?open_card_kn
236500,"улица им Дмитрия Благоева, 11",Краснодар,550,430,Универсальное помещение,https://krasnodar-1.n1.ru/view/79937256/?open_card_kn
100000,"улица Имени Ивана Лотышева, 1",Краснодар,1000,100,Универсальное помещение,https://krasnodar-1.n1.ru/view/112947936/?open_card_kn
30000,"улица Казбекская, 7",Краснодар,1000,30,Универсальное помещение,https://krasnodar-1.n1.ru/view/115825292/?open_card_kn
667680,"проспект им 40-летия Победы, 33г",Краснодар,2600,256,Универсальное помещение,https://krasnodar-1.n1.ru/view/109741562/?open_card_kn
1300000,"проспект им 40-летия Победы, 33г",Краснодар,1813,717,Универсальное помещение,https://krasnodar-1.n1.ru/view/115473253/?open_card_kn
70000,"улица Красных Партизан, 1",Краснодар,966,72,Универсальное помещение,https://krasnodar-1.n1.ru/view/115473252/?open_card_kn
101000,"улица им Достоевского, 84",Краснодар,1000,101,Универсальное помещение,https://krasnodar-1.n1.ru/view/115473251/?open_card_kn
45650,"улица Красных Партизан, 1",Краснодар,1100,41,Универсальное помещение,https://krasnodar-1.n1.ru/view/115473250/?open_card_kn
61160,"улица Красных Партизан, 1",Краснодар,1100,55,Универсальное помещение,https://krasnodar-1.n1.ru/view/115472955/?open_card_kn
99000,"Адмирала Пустошкина бульвар, 11",Краснодар,1000,99,Универсальное помещение,https://krasnodar-1.n1.ru/view/115472836/?open_card_kn
140000,"улица им Марины Цветаевой, 15",Краснодар,1467,95,Универсальное помещение,https://krasnodar-1.n1.ru/view/115472835/?open_card_kn
