"rent, rub/month",full_address,city,"price_per_sqm, rub/month","square, m^2",type,url
90394,"улица Владимировская, 21",Новосибирск,528,171,Универсальное помещение,https://novosibirsk.n1.ru/view/115244659/?open_card_kn
1145000,"улица Станционная, 38",Новосибирск,499,2291,Универсальное помещение,https://novosibirsk.n1.ru/view/106513443/?open_card_kn
295200,"улица Железнодорожная, 18",Новосибирск,2899,101,Универсальное помещение,https://novosibirsk.n1.ru/view/115244422/?open_card_kn
99000,"улица Залесского, 5",Новосибирск,900,110,Универсальное помещение,https://novosibirsk.n1.ru/view/115244371/?open_card_kn
200000,"улица Бориса Богаткова, 112",Новосибирск,833,240,Универсальное помещение,https://novosibirsk.n1.ru/view/115935657/?open_card_kn
120000,"улица Первомайская, 140",Новосибирск,750,160,Универсальное помещение,https://novosibirsk.n1.ru/view/111207552/?open_card_kn
355500,"улица Бориса Богаткова, 201",Новосибирск,1500,237,Универсальное помещение,https://novosibirsk.n1.ru/view/112648964/?open_card_kn
51600,"улица Кошурникова, 31",Новосибирск,1200,43,Универсальное помещение,https://novosibirsk.n1.ru/view/112648947/?open_card_kn
296800,"улица Семьи Шамшиных, 91",Новосибирск,2650,112,Универсальное помещение,https://novosibirsk.n1.ru/view/113809520/?open_card_kn
700000,"улица Большевистская, 48",Новосибирск,700,1000,Универсальное помещение,https://novosibirsk.n1.ru/view/95444168/?open_card_kn
504000,"Красный проспект, 104",Новосибирск,3500,144,Универсальное помещение,https://novosibirsk.n1.ru/view/113464615/?open_card_kn
1008000,"Красный проспект, 104",Новосибирск,3500,288,Универсальное помещение,https://novosibirsk.n1.ru/view/113464616/?open_card_kn
1650000,"улица Большевистская, 48",Новосибирск,550,3000,Универсальное помещение,https://novosibirsk.n1.ru/view/95425933/?open_card_kn
152100,"улица Фабричная, 10",Новосибирск,450,338,Универсальное помещение,https://novosibirsk.n1.ru/view/115933957/?open_card_kn
44640,"улица Фабричная, 10",Новосибирск,450,99,Универсальное помещение,https://novosibirsk.n1.ru/view/115933959/?open_card_kn
170500,"улица Фабричная, 10",Новосибирск,550,310,Универсальное помещение,https://novosibirsk.n1.ru/view/115933955/?open_card_kn
95320,"улица Фабричная, 10",Новосибирск,400,238,Универсальное помещение,https://novosibirsk.n1.ru/view/115933958/?open_card_kn
216000,"улица Спартака, 5б",Новосибирск,500,432,Универсальное помещение,https://novosibirsk.n1.ru/view/115933953/?open_card_kn
50000,"улица Фабричная, 10",Новосибирск,250,200,Универсальное помещение,https://novosibirsk.n1.ru/view/115933951/?open_card_kn
74250,"улица Фабричная, 10",Новосибирск,550,135,Универсальное помещение,https://novosibirsk.n1.ru/view/115933954/?open_card_kn
26250,"улица Фабричная, 10",Новосибирск,504,52,Универсальное помещение,https://novosibirsk.n1.ru/view/115933950/?open_card_kn
340000,"улица Медкадры, 1",Новосибирск,997,340,Универсальное помещение,https://novosibirsk.n1.ru/view/114899296/?open_card_kn
300000,"улица Макаренко, 22",Новосибирск,1500,200,Универсальное помещение,https://novosibirsk.n1.ru/view/113808513/?open_card_kn
3129600,"Карла Маркса площадь, 1",Новосибирск,1200,2608,Универсальное помещение,https://novosibirsk.n1.ru/view/115933776/?open_card_kn
150000,"улица Семьи Шамшиных, 93",Новосибирск,1807,83,Универсальное помещение,https://novosibirsk.n1.ru/view/115933775/?open_card_kn
20000,"улица Большая, 252",Новосибирск,500,40,Универсальное помещение,https://novosibirsk.n1.ru/view/115933754/?open_card_kn
60000,"улица Королева, 40",Новосибирск,451,133,Универсальное помещение,https://novosibirsk.n1.ru/view/115933737/?open_card_kn
627000,"улица Жуковского, 96",Новосибирск,550,1140,Универсальное помещение,https://novosibirsk.n1.ru/view/115933738/?open_card_kn
